('グランマニエサイドカー', 'ブランデーベース', '20~25', '甘口', 'グランマニエ、レモンジュース', 'オレンジリキュールとブランデーの組み合わせを楽しみたい人。', 'オレンジリキュールとブランデーの組み合わせを楽しみたい人に向けた特徴です。'),
('シクラメン', 'テキーラベース', '15~20', '甘口', 'ホワイトキュラソー、オレンジジュース、レモンジュース、シュガーシロップ、（レモンピール）', 'エレガントでフローラルなカクテルを楽しみたい人。', 'ホワイトキュラソーの芳醇な風味とオレンジジュースの甘みが調和し、エレガントでフローラルな味わいを楽しめます。'),
('ディーゼル', 'ビールベース', '~10', '甘口', 'コーラ', 'ビールとコーラの組み合わせが好きな人、甘いビールカクテルを楽しみたい人', 'ビールにコカ・コーラを注ぎ、スイートでリフレッシュ感のある味わいにする。'),
('ブルーハワイ', 'ラムベース', '20~30', '甘口', 'ブルーキュラソー、パイナップルジュース、レモンジュース', '鮮やかな色とフルーティな味わいを楽しみたい人。', 'ラムのキレとフルーツジュースの甘みが加わり、華やかな味わい。'),
('フレンチコネクション', 'ブランデーベース', '20~25', '甘口', 'アマレット', 'アーモンドリキュールとブランデーの組み合わせを楽しみたい人。', 'アーモンドリキュールとブランデーの組み合わせを楽しみたい人に向けた特徴です。'),
('カベルネ・ソーヴィニヨン', '赤ワイン', '10~15', '辛口', '特になし', 'フルボディでタンニンの強い赤ワインを好む人。', 'フルボディでタンニンの強い赤ワインを好む人向けの辛口の赤ワイン。'),
('ドッグズノーズ', 'ビールベース', '~10', '辛口', 'ジン', 'ジンとビールのユニークな組み合わせを試したい人、スパイシーな飲み物が好きな人', 'ビールにギンジャーエールを注ぎ、スパイシーで爽やかな味わいにする。'),
('シラー', '赤ワイン', '10~15', '辛口', '特になし', 'スパイシーでリッチな赤ワインを好む人。', 'スパイシーでリッチな赤ワインを好む人向けの辛口の赤ワイン。'),
('スカイ・ダイビング', 'ラムベース', '15~21', '甘口', 'ブルーキュラソー、ライムジュース', '爽やかでさっぱりとしたカクテルを好む人。', 'ラムのキレとフルーツジュースの甘みが加わり、華やかな味わい。'),
('カルピスサワー', '焼酎、サワー', '~10', '甘口', 'カルピス、炭酸水', '甘さと爽やかさが両立した味わいを楽しみたい方にお勧めです。', 'カルピスのまろやかな甘さと酸味が絶妙にマッチしたカクテル。'),
('鳳凰美田', '日本酒', '16', '甘口', '特になし', '華やかな香りとフルーティーな味わいを楽しみたい人。濃厚でジューシーな風味を好む人。', '栃木県のお酒で華やかな香りとフルーティーな味わい。濃厚でジューシー。'),
('上善如水', '日本酒', '14', '辛口', '特になし', 'クリアで滑らかな飲み口を好む人。日本酒初心者にもおすすめ。', '新潟県のお酒で淡麗でクリアな味わい。名前の通り、水のような滑らかさ。'),
('サントリー角瓶', 'ウィスキーベース', '40', '辛口', 'スムーズで軽快な口当たり。ハイボールにすると爽やかな風味が楽しめる。', 'クラシックで信頼性のあるウイスキーを好む人。', 'サントリーのスタンダードなウイスキーであり、バランスの良い味わいが特徴。'),
('トムコリンズ', 'ジンベース', '10~15', '甘口', 'レモンジュース、シュガーシロップ、ソーダ水', 'レモンの爽やかな酸味を楽しみたい人、シンプルで爽やかなカクテルが好きな人。', 'ジンの芳香にレモンジュースの酸味とシロップの甘み、ソーダの爽快感が調和した、すっきりとした味わい。'),
('アラスカ', 'ジンベース', '20~25', '辛口', 'イエローレモンジュース、（レモン）', 'アニスの香りとジンのスッキリとした味わいが好きな人、複雑なカクテルが好きな人。', 'ジンのボタニカルな香りとイエローチャートリューズのハーブの香り、甘みが調和した、複雑な味わい。'),
('ジントニック', 'ジンベース', '10~15', '辛口', 'トニックウォーター、（ライム）', '爽やかな味わいを好む人、シンプルでクラシックなカクテルが好きな人。', '爽やかでスッキリとした味わい。ジンの香りとトニックウォーターの微炭酸が調和し、ほのかな苦味が特徴。'),
('カミカゼ', 'ウォッカベース', '15~20', '辛口', 'トリプルセック、ライムジュース', '少し強めのシトラスフレーバーを楽しみたい人。', 'ウォッカとオレンジジュースの甘みにクランベリージュースの酸味が加わり、バランスの良い味わい。'),
('ラムネビール', 'ビールベース', '~10', '甘口', '三ツ矢サイダー', '甘くて炭酸が強い飲み物を好む人、珍しいカクテルを試したい人', 'ビールにラムネを注ぎ、甘く爽やかな味わいにする。'),
('ピュアラブ', 'ジンベース', '10~15', '甘口', 'クランベリージュース、レモンジュース、シュガーシロップ', '甘さと爽やかな酸味のバランスが好きな人、フルーティーなカクテルが好きな人。', 'ジンとカシスリキュールの甘酸っぱさ、フルーティーで爽やかな味わい。'),
('ジンフィズ', 'ジンベース', '15~20', '辛口', 'レモンジュース、砂糖、ソーダ水', '爽やかなレモンの風味と泡立ちが好きな人、軽やかなカクテルが好きな人。', 'ジンの芳香にレモンジュースの酸味、シロップの甘み、ソーダの炭酸が加わり、軽やかな味わい。'),
('イスラ・デ・ピノス', 'ラムベース', '15~20', '甘口', 'グレープフルーツジュース、砂糖、シュガーシロップ', 'エキゾチックな味を楽しみたい人。', 'ラムのキレとフルーツジュースの甘みが加わり、バランスの良い味わい。'),
('沢の鶴', '日本酒', '15.5', '中口', '特になし', 'バランスの取れた味わいを求める人。やや甘めで滑らかな口当たりが好きな人。', '兵庫県のお酒でバランスの取れた味わい。やや甘めで滑らか。'),
('エッグビール', 'ビールベース', '~10', '甘口', '卵黄', 'リッチでクリーミーな飲み物を試したい人、特にエッグノッグが好きな人', 'ビールに生卵を加え、コクのある味わいを楽しむ。'),
('角ハイボール', 'ウィスキーベース', '5~10', '辛口', '爽やかで軽やかな飲み口。食事によく合う。', 'シンプルで爽やかなウイスキーハイボールを楽しみたい人。', 'サントリーの角瓶ウイスキーを使用した爽やかでクリアな味わいのハイボール。'),
('シーブリーズ', 'ウォッカベース', '10~15', '甘口', 'クランベリージュース、グレープフルーツジュース', '軽くてさわやかなフルーツカクテルが好きな人。', 'クランベリージュースの酸味とグレープフルーツジュースの爽やかな風味が調和した、爽快な味わい。'),
('而今', '日本酒', '16', '辛口', '特になし', '豊かな香りとフルーティーな味わいを楽しみたい人。後味のすっきりとした酒が好きな人。', '三重県のお酒で豊かな香りとフルーティーな味わい。後味はすっきり。'),
('ニッカウヰスキー', 'ウィスキーベース', '37~51', '辛口', 'ブレンドにより異なるが、一般的にはスパイシーで力強い風味。', '日本の伝統的なウイスキーを試してみたい人。', 'ニッカウイスキーのバランスの良い風味が特徴のウイスキー。'),
('新政', '日本酒', '15', '甘口', '特になし', '個性的な味わいとフレッシュな風味を楽しみたい人。新しい日本酒のスタイルを試してみたい人。', '秋田県のお酒で個性的な味わいで、フレッシュでフルーティー。'),
('グレープフルーツビール', 'ビールベース', '~10', '甘口', 'グレープフルーツジュース', '爽やかなフルーツフレーバーを好む人、ビールの苦味が苦手な人', 'ビールにグレープフルーツジュースを加え、さわやかでフルーティーな味わいにする。'),
('セックス・オン・ザ・ビーチ', 'ウォッカベース', '10~15', '甘口', 'ピーチスナップ、オレンジジュース、クランベリージュース、（オレンジ）', '甘くてフルーティなカクテルを楽しみたい人。', 'ウォッカとブルーキュラソーの爽やかな風味にレモンジュースの酸味が加わり、さわやかな味わい。'),
('白州', 'ウィスキーベース', '43', '辛口', 'フレッシュで爽やかな香り、スモーキーな後味が特徴。', 'フレッシュでさっぱりとしたウイスキーを好む人。', 'サントリーのシングルモルトウイスキーであり、穏やかな風味と深みのある味わいが特徴。'),
('青りんごサワー', '焼酎、サワー', '~10', '甘口', '青りんごジュース、炭酸水', '爽やかな酸味とフルーツ感が好きな方にお勧めです。', '青りんごの爽やかな風味と酸味が特徴のカクテル。'),
('ゴッドマザー', 'ウォッカベース', '20~25', '甘口', 'アマレット', 'アーモンドの風味を楽しみたい人。', 'ウォッカとオレンジジュースの甘みにクランベリージュースの酸味が加わり、バランスの良い味わい。'),
('サンセット・ドライバー', 'テキーラベース', '10~15', '甘口', 'カシスリキュール、レモンジュース、オレンジジュース、マラスキーノチェリー', 'フルーティで爽やかなカクテルを好む人。', 'カシスリキュールの甘みとオレンジジュースの爽やかな風味が調和し、フルーティで爽やかな味わいを楽しめます。'),
('メキシカン', 'テキーラベース', '15~20', '甘口', 'パイナップルジュース、シュガーシロップ', 'クラシックなメキシカンカクテルを楽しみたい人。', 'パイナップルジュースの甘みとシュガーシロップの風味が特徴で、クラシックなメキシカンカクテルの味わいです。'),
('ジンリッキー', 'ジンベース', '10~15', '辛口', 'ライムジュース、ソーダ水、（ライム）', '爽やかなレモンの風味を楽しみたい人、軽やかなカクテルが好きな人。', 'ジンの芳香にライムの爽やかな酸味、ソーダの軽い泡立ちが加わり、すっきりとした味わい。'),
('ラムコーク（キューバ・リブレ）', 'ラムベース', '10~15', '甘口', 'コーラ', 'シンプルでクラシックなカクテルを好む人。', 'ラムのスムーズな風味にコーラの甘みとレモンの爽やかな酸味が加わった、クラシックな味わい。'),
('ブラックルシアン', 'ウォッカベース', '20~25', '辛口', 'コーヒーリキュール', '濃厚なコーヒーフレーバーが好きな人。', 'ウォッカとアマレットの甘みとビターなアーモンドの風味が加わり、複雑な味わい。'),
('ブランデースリング', 'ブランデーベース', '20~25', '甘口', 'レモンジュース、シュガーシロップ、ミネラルウォーター', 'フルーティでさっぱりとしたカクテルを楽しみたい人。', 'フルーティでさっぱりとしたカクテルを楽しみたい人に向けた特徴です。'),
('シンガポールスリング', 'ジンベース', '15~20', '甘口', 'チェリーブランデー、レモンジュース、グレナデンシロップ、ソーダ水', 'シトラス系のフルーツとチェリーの風味を楽しみたい人、複雑な風味が好きな人。', 'ジンの芳香にチェリーブランデーの甘み、レモンジュースの酸味、ソーダの爽快感が調和した、複雑でバランスの良い味わい。'),
('ライジング・サン', 'テキーラベース', '15~20', '辛口', 'シャルトリューズ、ライムジュース', 'トロピカルでカラフルなカクテルを楽しみたい人。', 'シャルトリューズの風味とライムジュースの酸味が特徴で、トロピカルでカラフルな味わいを楽しめます。'),
('イエローバード', 'ラムベース', '15~20', '甘口', 'アプリコット・ブランデー、バナナ・リキュール、オレンジジュース、レモンジュース、シュガーシロップ、カットオレンジ、（マラスキーノチェリー）', 'フルーティでエキゾチックな味を楽しみたい人。', 'ラムのフルーティーな風味にパイナップルジュースの甘みが加わり、トロピカルな味わい。'),
('黄桜', '日本酒', '12', '中口', '特になし', 'バランスの良い味わいとややフルーティーな風味を好む人。飲みやすい酒を探している人。', '京都府のお酒でバランスの良い味わい。ややフルーティーで飲みやすい。'),
('飛露喜', '日本酒', '16', '辛口', '特になし', 'フレッシュでフルーティーな風味を楽しみたい人。キレの良い後味を求める人。', '福島県のお酒でフレッシュでフルーティー。キレの良い後味。'),
('ガルフストリーム', 'ウォッカベース', '10~15', '辛口', 'マロリカン、グレープフルーツジュース', 'トロピカルフルーツの味わいを楽しみたい人。', 'オレンジジュースの甘みとピーチリキュールのフルーティーさが加わり、柔らかな口当たりの味わい。'),
('ジンジャーハイ', '焼酎、サワー', '~10', '甘口', 'ジンジャーエール', '生姜のスパイシーな風味を楽しみたい方や、消化を助けたい方にお勧めです。', 'ジンジャーエールのスパイシーな風味とさわやかな酸味が楽しめるカクテル。'),
('田酒', '日本酒', '16', '辛口', '特になし', '米の旨味がしっかりと感じられる酒を楽しみたい人。バランスの良い味わいを求める人。', '青森県のお酒で米の旨味がしっかりと感じられ、バランスの良い味わい。'),
('マルガリータ・コスモ', 'テキーラベース', '20~30', '甘口', 'オレンジリキュール、クランベリードリンク、ライムジュース', 'マルガリータにフルーティなツイストを加えたカクテルを楽しみたい人。', 'オレンジリキュールとクランベリードリンクの甘みが特徴で、フルーティな味わいにライムの酸味が加わります。'),
('フレンチ・カクタス', 'テキーラベース', '15~20', '辛口', 'ホワイトキュラソー', 'エキゾチックで少しスパイシーなカクテルを楽しみたい人。', 'ホワイトキュラソーのエキゾチックな風味が特徴で、少しスパイシーな味わいを楽しめます。'),
('Jack Daniel's', 'ウィスキーベース', '40', '辛口', '甘さとスパイスのバランスが良く、バニラやキャラメルの風味が感じられる。', 'スムーズで甘いフレーバーを楽しみたい人。', 'テネシー産のウイスキーであり、スムーズでキャラメルのような甘さが特徴。'),
('ピノ・ノワール', '赤ワイン', '10~15', '辛口', '特になし', 'エレガントでフルーティな赤ワインを楽しみたい人。', 'エレガントでフルーティな赤ワインを楽しみたい人向けの辛口の赤ワイン。'),
('ウォッカコリンズ', 'ウォッカベース', '10~15', '辛口', 'レモンジュース、シュガーシロップ、ソーダ水、（レモン）', 'さっぱりとしたシンプルなカクテルを好む人。', 'ウォッカのキレとラズベリーリキュールの甘さが加わり、華やかな味わい。'),
('もっこり', 'ビールベース', '~10', '辛口', 'マッコリ', '日本のフレーバーを楽しみたい人、特にラムネや甘酒が好きな人', 'ビールにウイスキーやブランデーを加え、濃厚でコクのある味わいにする。'),
('パイナップルサワー', '焼酎、サワー', '~10', '甘口', 'パイナップルジュース、炭酸水', 'トロピカルな風味を楽しみたい方にお勧めです。', 'パイナップルの甘さと酸味が特徴のカクテル。'),
('ウォッカマティーニオンザロック', 'ウォッカベース', '20~25', '辛口', 'ドライベルモット', 'シンプルで強い味わいを楽しみたい人。', 'ウォッカとライムジュースの酸味にグレナデンシロップの甘みが加わり、甘酸っぱい味わい。'),
('ピカドール', 'テキーラベース', '15~20', '辛口', 'コーヒーリキュール、（レモンピール）', 'フルーティで甘酸っぱいカクテルを好む人。', 'コーヒーリキュールの甘さとレモンピールの爽やかな風味が特徴で、フルーティで甘酸っぱい味わいを楽しめます。'),
('ブランデージンジャー', 'ブランデーベース', '20~30', '甘口', 'ジンジャエール', 'ピリッとしたジンジャーフレーバーを楽しみたい人。', 'ピリッとしたジンジャーフレーバーを楽しみたい人に向けた特徴です。'),
('ダブルカルチャード', 'ビールベース', '~10', '甘口', 'カルピス', 'ビールとカクテルの融合を楽しみたい人、甘い飲み物が好きな人', 'ビールとシードルを混ぜ、フルーティーでリフレッシュ感のある味わいにする。'),
('鍋島', '日本酒', '15', '甘口', '特になし', '華やかな香りとフルーティーな味わいを楽しみたい人。柔らかな口当たりを好む人。', '佐賀県のお酒で華やかな香りとフルーティーな味わい。柔らかな口当たり。'),
('津軽りんごサワー', '焼酎、サワー', '~10', '甘口', '津軽りんごジュース、炭酸水', 'りんごの風味をしっかり楽しみたい方にお勧めです。', '津軽りんごの風味が特徴のカクテル。'),
('響', 'ウィスキーベース', '43', '甘口', '複雑で芳醇な香り、フルーティーで豊かな味わいが特徴。', '高級で複雑なフレーバーを楽しみたい人。', 'サントリーのプレミアムウイスキーであり、豊かな味わいと上質な香りが楽しめる。'),
('ピニャコラーダ', 'ラムベース', '15~22', '甘口', 'パイナップルジュース、ココナッツミルク', 'クリーミーでトロピカルなカクテルを楽しみたい人。', 'ラムのスムーズな風味にフルーツジュースの甘みが加わり、トロピカルな味わい。'),
('ビアモーニ', 'ビールベース', '~10', '甘口', 'カンパリ、オレンジジュース', 'ビールとオレンジジュースの組み合わせを楽しみたい人、軽い朝の飲み物を探している人', 'ビールにアマレットを加え、甘さと苦味が絶妙に調和した味わいを楽しむ。'),
('風の森', '日本酒', '16', '甘口', '特になし', 'フレッシュでジューシーな味わいを楽しみたい人。生酒特有のフルーティーな風味を求める人。', '奈良県のお酒でフレッシュでジューシー。生酒特有のフルーティーな味わい。'),
('トマトサワー', '焼酎、サワー', '~10', '甘口', 'トマトジュース、炭酸水', 'クセのある味わいを楽しみたい方や、料理とのマッチングを楽しみたい方にお勧めです。', 'トマトの特有の風味と酸味が楽しめるカクテル。'),
('シャルドネ', '白ワイン', '10~15', '中口', '特になし', 'バターやオークの風味が楽しめる白ワインを好む人。', 'バターやオークの風味が楽しめる白ワインを好む人向けの中口の白ワイン。'),
('ソーヴィニヨン・ブラン', '白ワイン', '10~15', '辛口', '特になし', 'さっぱりとした酸味がある白ワインを楽しみたい人。', 'さっぱりとした酸味がある白ワインを楽しみたい人向けの辛口の白ワイン。'),
('メルロー', '赤ワイン', '10~15', '辛口', '特になし', 'マイルドで柔らかな赤ワインを楽しみたい人。', 'マイルドで柔らかな赤ワインを楽しみたい人向けの辛口の赤ワイン。'),
('ギムレットハイボール', 'ジンベース', '15~20', '辛口', 'ライムジュース、シュガーシロップ、ソーダ水', 'シンプルで爽やかな味わいが好きな人、ジンの味を存分に楽しみたい人。', 'ジンとライムジュースのシャープな味わいをソーダで割り、爽快感のある味わい。'),
('コープスリバリバー', 'ブランデーベース', '20~30', '甘口', 'アップルブランデー、スイートベルモット', '強くて複雑なカクテルを楽しみたい人。', '強くて複雑なカクテルを楽しみたい人に向けた特徴です。'),
('オレンジビール', 'ビールベース', '~10', '甘口', 'オレンジジュース', 'フルーティーな飲み物が好きな人、ビールの苦味を和らげたい人', 'ビールにオレンジジュースを加え、爽やかなフルーツ感を楽しむ。'),
('八海山', '日本酒', '15.5', '辛口', '特になし', '辛口で淡麗な酒を好む人。すっきりとした飲み口が好きな人。', '新潟県のお酒で淡麗でシャープな味わい。すっきりとした飲み口が特徴。'),
('メキシカン・モヒート', 'テキーラベース', '15~20', '甘口', 'オレンジジュース', 'ミントの爽やかさを楽しみたい人。', 'ミントの爽やかさとオレンジジュースの甘みが特徴で、ミントのフレッシュな風味が楽しめます。'),
('菊正宗', '日本酒', '15', '辛口', '特になし', '伝統的な辛口の味わいを楽しみたい人。コクとキレを重視する人。', '兵庫県のお酒で伝統的な辛口の味わい。しっかりとしたコクとキレ。'),
('スティンガー', 'ブランデーベース', '20~30', '甘口', 'ホワイトペパーミントリキュール', 'ミントの爽やかさを楽しみたい人。', 'ミントの爽やかさを楽しみたい人に向けた特徴です。'),
('コンチータ', 'テキーラベース', '15~20', '辛口', 'グレープフルーツジュース、レモンジュース', 'フルーティでエレガントなカクテルを楽しみたい人。', 'グレープフルーツジュースのフルーティな風味とレモンジュースの酸味が調和し、エレガントな味わいを楽しめます。'),
('ブラッディメアリー', 'ウォッカベース', '10~15', '辛口', 'トマトジュース、レモンジュース、タバスコ、ウスターソース、（塩）、（胡椒）', 'スパイシーで食事に合うカクテルを楽しみたい人。', 'トマトジュースの濃厚な味わいにウォッカのキレが加わり、コクのある味わい。'),
('モヒート', 'ラムベース', '15~20', '甘口', 'ライム、砂糖、ソーダ、（ミントの葉）', '爽やかでミントの風味を楽しみたい人。', 'ラムのフルーティーな風味にパイナップルジュースとココナッツクリームの甘みが加わり、トロピカルな味わい。'),
('ミチュラーダ', 'ビールベース', '~10', '辛口', 'テキーラ', 'スパイシーなカクテルが好きな人、メキシコ料理と相性の良い飲み物を探している人', 'ビールにトマトジュースやウスターソースを加え、スパイシーでコクのある味わいにする。'),
('スレッジハンマー', 'ウォッカベース', '20~25', '辛口', 'ドライバーム、オレンジジュース', '強いカクテルを好む人。', 'ウォッカとアプリコットブランデーの甘みとオレンジジュースの酸味が加わり、フルーティーな味わい。'),
('Jimハイボール', 'ウィスキーベース', '5~10', '辛口', 'ジムビームのバニラとキャラメルの甘さがありつつ、スパイシーな後味。', 'ジムビームのマイルドな味わいを楽しみたい人。', 'ジムビームのウイスキーを使用した爽やかで軽快な味わいのハイボール。'),
('グリーンアイズ', 'ラムベース', '15~20', '辛口', 'ミドリ・リキュール、パイナップルジュース、ココナッツミルク、ライム・ジュース、', '少し甘めでフルーティなカクテルを好む人。', 'ラムのキレとクランベリージュースの酸味が加わり、さわやかな味わい。'),
('作', '日本酒', '15', '中口', '特になし', 'フルーティーでバランスの良い味わいを楽しみたい人。柔らかい口当たりを好む人。', '三重県のお酒でフルーティーでバランスの良い味わい。柔らかい口当たり。'),
('マタドール', 'テキーラベース', '15~20', '甘口', 'パイナップルジュース、ライムジュース', 'パイナップルのフレーバーが好きな人。', 'パイナップルジュースのフレーバーが特徴で、爽やかなトロピカルな味わいを楽しめます。'),
('ピノ・グリ', '白ワイン', '10~15', '辛口', '特になし', 'フルーティで軽快な白ワインを好む人。', 'フルーティで軽快な白ワインを好む人向けの辛口の白ワイン。'),
('雪国', 'ウォッカベース', '10~15', '甘口', 'クランベリージュース、シュガーシロップ、（レモン）', '日本の伝統的なカクテルを試したい人。', 'ウォッカのキレとレモンジュースの酸味が加わり、さわやかな味わい。'),
('パラダイス', 'ジンベース', '20~25', '甘口', 'アプリコットブランデー、オレンジジュース', 'オレンジの香りとジンの爽やかな味わいが好きな人、フルーティーなカクテルが好きな人。', 'ジンの芳香にアプリコットブランデーの甘みとオレンジジュースの酸味が調和した、フルーティーな味わい。'),
('テキーラサンライズ', 'テキーラベース', '15~20', '甘口', 'オレンジジュース、シュガーシロップ', '甘さと酸味のバランスが取れたカクテルを好む人。', 'テキーラの芳醇な風味とオレンジジュースの甘みがバランス良く調和し、甘さと酸味のバランスが取れた味わいです。'),
('巨峰サワー', '焼酎、サワー', '~10', '甘口', '巨峰ジュース、炭酸水', 'ぶどうの甘さと酸味を楽しみたい方にお勧めです。', '巨峰の甘さと酸味が絶妙にマッチしたカクテル。'),
('ニコラシカ', 'ブランデーベース', '20~25', '甘口', 'レモンスライス、シュガー', '強くてシンプルなカクテルを好む人。', '強くてシンプルなカクテルを好む人に向けた特徴です。'),
('ビッグアップル', 'ウォッカベース', '10~15', '甘口', 'グリーンアップルリキュール、クランベリージュース、レモンジュース、シュガーシロップ', 'リンゴの風味を楽しみたい人。', 'ウォッカとソーダの爽やかな味わいにレモンジュースの酸味が加わり、爽快な味わい。'),
('ブランデーサワー', 'ブランデーベース', '20~25', '甘口', 'レモンジュース、シュガーシロップ', '甘酸っぱい味わいが好きな人。', '甘酸っぱい味わいが好きな人に向けた特徴です。'),
('ビトウィーンザシーツ', 'ブランデーベース', '20~25', '甘口', 'ホワイトラム、ホワイトキュラソー、レモンジュース', '少し強めで甘酸っぱいカクテルを楽しみたい人。', '少し強めで甘酸っぱいカクテルを楽しみたい人に向けた特徴です。'),
('剣菱', '日本酒', '15.8', '辛口', '特になし', '重厚でしっかりとした味わいを楽しみたい人。米の旨味を重視する人。', '兵庫県のお酒で重厚でしっかりとした味わい。米の旨味が豊か。'),
('M30レイン', 'ウォッカベース', '10~15', '甘口', 'ライムジュース、グレープフルーツジュース、シュガーシロップ', '甘くてフルーティなカクテルを好む人。', 'ラズベリーリキュールとウォッカのフルーティーさにクランベリージュースの酸味が加わり、爽やかな味わい。'),
('焼酎お湯割り', '焼酎、サワー', '20~25', '辛口', 'お湯', '冷えた体を温めたい方や、和風の料理と一緒に楽しみたい方にお勧めです。', '焼酎をお湯で割った、温かい飲み方。'),
('ウォッカトニック', 'ウォッカベース', '10~15', '辛口', 'トニックウォーター', '軽くてリフレッシュできるカクテルを好む人。', 'ウォッカとトニックウォーターの爽やかな味わいにライムの酸味が加わり、すっきりとした味わい。'),
('プランターズ・カクテル', 'ラムベース', '15~20', '甘口', 'オレンジジュース、レモンジュース', 'クラシックで深みのあるカクテルを好む人。', 'ラムのキレとフルーツジュースの甘みが加わり、華やかな味わい。'),
('チョコティー二', 'ウォッカベース', '15~20', '甘口', 'ココアリキュール、クリーム、チョコレートシロップ', '甘いチョコレートフレーバーが好きな人。', 'ウォッカとチョコレートリキュールの甘みとコクが加わり、リッチな味わい。'),
('ボストン・クーラー', 'ラムベース', '10~15', '辛口', 'レモンジュース、ガムシロップ、ジンジャーエール', '爽やかでクリーミーな飲み物を楽しみたい人。', 'ラムのフルーティーな風味にオレンジジュースの爽やかな酸味と甘みが加わり、爽やかな味わい。'),
('テキーラ・サンセット', 'テキーラベース', '15~20', '甘口', 'レモンジュース、シュガーシロップ', 'カラフルで甘さが特徴のカクテルを楽しみたい人。', 'レモンジュースの酸味とシュガーシロップの甘さが特徴で、カラフルで甘い味わいを楽しめます。'),
('ハイボール', 'ウィスキーベース', '5~10', '両方', '使用するウィスキーによるが、一般的には爽やかで飲みやすい。', 'クラシックでシンプルなハイボールを好む人。', 'ウイスキーと炭酸水を合わせたシンプルで爽快なカクテル。'),
('ギブソン', 'ジンベース', '20~25', '辛口', 'ドライベルモット、（オリーブ）', 'オニオンの風味とジンの爽やかな味わいが好きな人、シンプルでクラシックなカクテルが好きな人。', 'マティーニに似た味わいだが、カクテルオニオンが加わることで、軽い辛味と甘みが感じられる。'),
('ダーティマザー', 'ブランデーベース', '20~30', '辛口', 'コーヒーリキュール', 'コーヒーリキュールとブランデーの濃厚な組み合わせを楽しみたい人。', 'コーヒーリキュールとブランデーの濃厚な組み合わせを楽しみたい人に向けた特徴です。'),
('十四代', '日本酒', '15', '甘口', '特になし', '非常にフルーティーで芳醇な香りを楽しみたい人。濃厚な旨味を求める人。', '山形県のお酒で非常にフルーティーで芳醇な香り。濃厚な旨味。'),
('ミントビア', 'ビールベース', '~10', '甘口', 'ミントリキュール', 'フレッシュなミントの風味が好きな人、清涼感のある飲み物を好む人', 'ビールにミントシロップやミントリキュールを加え、爽やかなミント風味を楽しむ。'),
('プロセッコ', 'スパークリングワイン', '10~15', '中口', '特になし', 'イタリア産の軽やかなスパークリングワインを楽しみたい人。', 'イタリア産の軽やかなスパークリングワインを楽しみたい人向けの中口のスパークリングワイン。'),
('スクリュードライバー', 'ウォッカベース', '10~15', '甘口', 'オレンジジュース、（オレンジ）', 'シンプルでフルーティなカクテルが好きな初心者。', 'オレンジジュースの甘みとウォッカのキレが絶妙に調和した、フルーティーで爽やかな味わい。'),
